epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,400.827,1.55795,3.24628,1.70172,0.55281,0.30963,0.27338,0.14808,1.82811,2.36605,1.89763,0.00332774,0.00332774,0.00332774
2,795.076,1.59262,2.43726,1.70595,0.57397,0.21213,0.20618,0.0935,2.07078,3.02083,2.22751,0.00659513,0.00659513,0.00659513
3,1189.69,1.68465,2.43257,1.79268,0.28123,0.18564,0.07339,0.02908,2.28574,3.8597,2.48663,0.00979652,0.00979652,0.00979652
4,1581.97,1.68448,2.32774,1.81231,0.35658,0.28503,0.23947,0.12075,1.95921,2.75108,2.07134,0.009703,0.009703,0.009703
5,1975.29,1.60504,2.14169,1.74349,0.57893,0.3194,0.33704,0.17801,1.84992,2.35413,1.98031,0.009604,0.009604,0.009604
6,2365.33,1.56128,2.03303,1.70673,0.48764,0.34934,0.32528,0.17728,1.81668,2.1993,1.92637,0.009505,0.009505,0.009505
7,2753.25,1.5221,1.95521,1.67177,0.63828,0.36106,0.39727,0.20919,1.78483,2.032,1.8569,0.009406,0.009406,0.009406
8,3143.26,1.49887,1.89905,1.65192,0.518,0.42533,0.40602,0.22446,1.72359,1.97623,1.81408,0.009307,0.009307,0.009307
9,3535.45,1.48627,1.85497,1.64058,0.64624,0.37773,0.41763,0.23672,1.7058,1.94103,1.80164,0.009208,0.009208,0.009208
10,3926.02,1.46917,1.81204,1.62114,0.61276,0.43606,0.44419,0.26326,1.66823,1.85257,1.75997,0.009109,0.009109,0.009109
11,4316.15,1.45721,1.78084,1.60577,0.62378,0.45785,0.45767,0.26888,1.65588,1.81013,1.73087,0.00901,0.00901,0.00901
12,4708.55,1.44276,1.7699,1.60694,0.62795,0.45899,0.4845,0.28469,1.62476,1.76581,1.72489,0.008911,0.008911,0.008911
13,5099.04,1.44082,1.75101,1.59812,0.65099,0.44399,0.48802,0.28811,1.62,1.74745,1.72274,0.008812,0.008812,0.008812
14,5490.9,1.42878,1.72603,1.59333,0.66971,0.45172,0.50586,0.30089,1.58739,1.69799,1.69403,0.008713,0.008713,0.008713
15,5881.95,1.41114,1.68927,1.57829,0.66969,0.4784,0.51628,0.30885,1.57885,1.67258,1.67033,0.008614,0.008614,0.008614
16,6271.72,1.39856,1.68517,1.57197,0.66284,0.49084,0.53447,0.31941,1.56044,1.65275,1.66341,0.008515,0.008515,0.008515
17,6660.58,1.41678,1.68844,1.57489,0.66356,0.48052,0.52785,0.32206,1.55725,1.64429,1.64835,0.008416,0.008416,0.008416
18,7055.22,1.39766,1.66014,1.56278,0.67472,0.48336,0.53776,0.32587,1.54172,1.60644,1.64036,0.008317,0.008317,0.008317
19,7447.29,1.39206,1.64851,1.55589,0.68981,0.48415,0.54232,0.32729,1.54295,1.60976,1.64115,0.008218,0.008218,0.008218
20,7838.69,1.3898,1.64241,1.55574,0.65019,0.52824,0.56087,0.33982,1.52774,1.59234,1.62556,0.008119,0.008119,0.008119
21,8234.84,1.38266,1.62185,1.5506,0.62682,0.53488,0.56269,0.34611,1.52489,1.57431,1.61794,0.00802,0.00802,0.00802
22,8628.11,1.37584,1.60173,1.54368,0.67598,0.52388,0.56724,0.35204,1.51556,1.56319,1.60394,0.007921,0.007921,0.007921
23,9017.41,1.36456,1.59636,1.53677,0.71228,0.51437,0.5704,0.34849,1.51132,1.55115,1.60341,0.007822,0.007822,0.007822
24,9404.33,1.36675,1.59255,1.53501,0.64644,0.53811,0.57066,0.35164,1.50577,1.54217,1.59957,0.007723,0.007723,0.007723
25,9793.61,1.36342,1.5841,1.53378,0.64354,0.53785,0.57287,0.35399,1.49976,1.53755,1.59511,0.007624,0.007624,0.007624
26,10187.6,1.35904,1.57651,1.52861,0.64572,0.53844,0.5749,0.35577,1.49462,1.53165,1.59099,0.007525,0.007525,0.007525
27,10580.6,1.35382,1.56958,1.52623,0.63648,0.53905,0.57789,0.35781,1.49078,1.52376,1.58932,0.007426,0.007426,0.007426
28,10971.7,1.3528,1.55526,1.52428,0.62529,0.5386,0.57773,0.35998,1.48689,1.51963,1.5854,0.007327,0.007327,0.007327
29,11366.5,1.34462,1.54033,1.51622,0.63533,0.53518,0.57587,0.35816,1.48469,1.51377,1.58339,0.007228,0.007228,0.007228
30,11755.3,1.34221,1.53118,1.51407,0.63482,0.54289,0.57675,0.35976,1.48167,1.50777,1.57986,0.007129,0.007129,0.007129
31,12146.5,1.33752,1.52975,1.50835,0.63122,0.54431,0.5787,0.36141,1.47986,1.50176,1.57771,0.00703,0.00703,0.00703
32,12537.9,1.34163,1.52564,1.51218,0.63071,0.54454,0.5798,0.36336,1.47761,1.49741,1.57512,0.006931,0.006931,0.006931
33,12922.7,1.32377,1.51103,1.50425,0.63241,0.54594,0.58173,0.36473,1.4759,1.49203,1.5736,0.006832,0.006832,0.006832
34,13308.5,1.33574,1.51192,1.50646,0.64213,0.54276,0.58494,0.36687,1.47322,1.48741,1.57132,0.006733,0.006733,0.006733
35,13700.1,1.3293,1.49811,1.49884,0.64439,0.53342,0.58096,0.36826,1.4721,1.48371,1.56979,0.006634,0.006634,0.006634
36,14085.8,1.32635,1.50517,1.50114,0.65816,0.53276,0.58798,0.37049,1.47086,1.47994,1.56868,0.006535,0.006535,0.006535
37,14471.1,1.33843,1.4911,1.49956,0.66029,0.5343,0.58925,0.37123,1.46982,1.47682,1.56706,0.006436,0.006436,0.006436
38,14854.4,1.32102,1.47774,1.49047,0.65441,0.52914,0.58573,0.37252,1.46871,1.47287,1.56552,0.006337,0.006337,0.006337
39,15237,1.32049,1.48155,1.49176,0.65496,0.52612,0.58688,0.37398,1.46776,1.46919,1.56475,0.006238,0.006238,0.006238
40,15623.6,1.31521,1.47738,1.49018,0.64954,0.52772,0.58863,0.37519,1.46633,1.46604,1.56303,0.006139,0.006139,0.006139
41,16008.5,1.30494,1.44842,1.48241,0.65079,0.52715,0.58956,0.37651,1.46474,1.46278,1.5614,0.00604,0.00604,0.00604
42,16396.5,1.30516,1.4545,1.4806,0.60777,0.54872,0.58902,0.37644,1.46337,1.45891,1.55999,0.005941,0.005941,0.005941
43,16785.6,1.2997,1.44291,1.47547,0.62792,0.54919,0.59507,0.37818,1.46183,1.45507,1.55772,0.005842,0.005842,0.005842
44,17174,1.30993,1.44287,1.48398,0.67261,0.53032,0.59816,0.37985,1.4608,1.45126,1.55635,0.005743,0.005743,0.005743
45,17570.2,1.30332,1.43892,1.47556,0.681,0.52889,0.5991,0.38126,1.45947,1.44812,1.55423,0.005644,0.005644,0.005644
46,17965.2,1.29238,1.42277,1.46941,0.67832,0.53716,0.59932,0.38186,1.45762,1.44475,1.55195,0.005545,0.005545,0.005545
47,18358.3,1.29354,1.42156,1.46645,0.66224,0.54381,0.60001,0.38241,1.4556,1.44134,1.54984,0.005446,0.005446,0.005446
48,18750.1,1.28888,1.41053,1.46572,0.6632,0.54226,0.6023,0.38248,1.45441,1.43782,1.5484,0.005347,0.005347,0.005347
49,19141.7,1.28417,1.40634,1.46584,0.66065,0.54126,0.60082,0.38236,1.45318,1.43438,1.54692,0.005248,0.005248,0.005248
50,19534.2,1.28968,1.41639,1.46594,0.66013,0.54529,0.60251,0.38412,1.45157,1.43063,1.54486,0.005149,0.005149,0.005149
51,19921,1.27869,1.39301,1.45635,0.66469,0.54665,0.60358,0.38631,1.45024,1.42578,1.54297,0.00505,0.00505,0.00505
52,20307.8,1.28776,1.40019,1.46393,0.66463,0.54631,0.60479,0.38665,1.44858,1.4221,1.54155,0.004951,0.004951,0.004951
53,20694.2,1.27698,1.39307,1.45703,0.66045,0.54753,0.60363,0.3877,1.44693,1.41889,1.53998,0.004852,0.004852,0.004852
54,21083.8,1.27462,1.37942,1.45043,0.66174,0.54871,0.60436,0.3882,1.44555,1.41568,1.53803,0.004753,0.004753,0.004753
55,21472.3,1.27249,1.38254,1.45272,0.65326,0.55249,0.604,0.38886,1.44334,1.41122,1.53531,0.004654,0.004654,0.004654
56,21858.1,1.26483,1.36144,1.44545,0.65867,0.5528,0.60533,0.38995,1.44143,1.40795,1.53293,0.004555,0.004555,0.004555
57,22242.6,1.26948,1.36662,1.44408,0.66464,0.54986,0.60666,0.39007,1.4403,1.40474,1.53142,0.004456,0.004456,0.004456
58,22628.8,1.27283,1.3645,1.44405,0.65407,0.54841,0.60759,0.39112,1.43856,1.40153,1.52955,0.004357,0.004357,0.004357
59,23018.8,1.25636,1.35924,1.43941,0.64848,0.56633,0.614,0.39468,1.43717,1.39764,1.52782,0.004258,0.004258,0.004258
60,23407.7,1.25707,1.35112,1.43727,0.64962,0.56678,0.61579,0.39609,1.43546,1.39389,1.52583,0.004159,0.004159,0.004159
61,23797.7,1.2454,1.34234,1.43244,0.65845,0.55872,0.6127,0.3966,1.43316,1.39021,1.52356,0.00406,0.00406,0.00406
62,24190.6,1.24241,1.33894,1.43073,0.6629,0.56068,0.61344,0.39807,1.43162,1.38745,1.52168,0.003961,0.003961,0.003961
63,24583.7,1.24117,1.33319,1.42891,0.66126,0.55997,0.61306,0.39739,1.42981,1.38471,1.51996,0.003862,0.003862,0.003862
64,24976.2,1.24151,1.32221,1.427,0.66414,0.55979,0.61364,0.39726,1.42804,1.38129,1.51824,0.003763,0.003763,0.003763
65,25362.1,1.23248,1.31015,1.42039,0.66114,0.56083,0.6163,0.39869,1.42579,1.37759,1.51567,0.003664,0.003664,0.003664
66,25747.8,1.2271,1.30452,1.41446,0.66219,0.56203,0.61527,0.39948,1.42392,1.3747,1.5133,0.003565,0.003565,0.003565
67,26139.8,1.22376,1.29821,1.4178,0.66158,0.56639,0.61602,0.40006,1.42226,1.37224,1.51109,0.003466,0.003466,0.003466
68,26532.7,1.23178,1.30553,1.4226,0.66147,0.56627,0.61517,0.40156,1.42049,1.36866,1.50885,0.003367,0.003367,0.003367
69,26923,1.21083,1.2825,1.40707,0.67441,0.56045,0.61667,0.40203,1.41835,1.36541,1.50627,0.003268,0.003268,0.003268
70,27311.8,1.2182,1.28572,1.40577,0.65768,0.57547,0.61622,0.40264,1.41684,1.36203,1.50402,0.003169,0.003169,0.003169
71,27701.8,1.20974,1.2702,1.40581,0.65222,0.57743,0.61629,0.40311,1.41574,1.35907,1.50246,0.00307,0.00307,0.00307
72,28093.6,1.21085,1.27653,1.40125,0.65249,0.58621,0.61904,0.40258,1.41395,1.35607,1.50077,0.002971,0.002971,0.002971
73,28486.8,1.21892,1.2644,1.4058,0.65421,0.57976,0.61886,0.40279,1.41239,1.3526,1.49921,0.002872,0.002872,0.002872
74,28875.5,1.19533,1.25236,1.3944,0.65568,0.57913,0.61928,0.40334,1.41148,1.34869,1.49835,0.002773,0.002773,0.002773
75,29265.7,1.21013,1.27194,1.40149,0.65182,0.58127,0.61961,0.40444,1.40946,1.34564,1.49613,0.002674,0.002674,0.002674
76,29660.2,1.19673,1.23812,1.39126,0.65744,0.57672,0.61931,0.40495,1.4075,1.34251,1.49425,0.002575,0.002575,0.002575
77,30049.8,1.19611,1.23516,1.38696,0.65108,0.57691,0.61942,0.40527,1.40613,1.34033,1.49238,0.002476,0.002476,0.002476
78,30436.6,1.19554,1.23556,1.38438,0.65957,0.57535,0.6199,0.40517,1.4045,1.33667,1.4904,0.002377,0.002377,0.002377
79,30822.1,1.18973,1.22888,1.38245,0.66044,0.57228,0.61978,0.40617,1.40276,1.33448,1.48867,0.002278,0.002278,0.002278
80,31209,1.18592,1.22479,1.38101,0.67471,0.5699,0.62079,0.40733,1.40034,1.33136,1.48639,0.002179,0.002179,0.002179
81,31598,1.1803,1.21427,1.37648,0.65336,0.5799,0.62072,0.40766,1.39883,1.32856,1.48488,0.00208,0.00208,0.00208
82,31986.9,1.17335,1.20581,1.37194,0.64246,0.58602,0.62137,0.40904,1.39723,1.32606,1.48288,0.001981,0.001981,0.001981
83,32371.1,1.16207,1.19274,1.36789,0.64536,0.58597,0.6214,0.40969,1.39515,1.32361,1.48059,0.001882,0.001882,0.001882
84,32758.3,1.16605,1.1906,1.36885,0.65144,0.58384,0.62167,0.41093,1.39379,1.32078,1.47917,0.001783,0.001783,0.001783
85,33145.6,1.15596,1.17832,1.35802,0.64903,0.58445,0.62177,0.41132,1.39237,1.31861,1.47725,0.001684,0.001684,0.001684
86,33534.9,1.15237,1.17549,1.35597,0.65552,0.58453,0.62263,0.41242,1.39096,1.31682,1.4755,0.001585,0.001585,0.001585
87,33924.6,1.15053,1.17032,1.35495,0.65613,0.58237,0.62363,0.41315,1.38975,1.31479,1.47378,0.001486,0.001486,0.001486
88,34311.5,1.14446,1.16303,1.35264,0.67052,0.58565,0.631,0.41375,1.38785,1.31291,1.47185,0.001387,0.001387,0.001387
89,34695,1.1291,1.14536,1.34474,0.66443,0.58883,0.63163,0.41456,1.38617,1.31029,1.47019,0.001288,0.001288,0.001288
90,35082.6,1.14509,1.15877,1.3481,0.65778,0.59664,0.63306,0.41529,1.38465,1.3072,1.4689,0.001189,0.001189,0.001189
91,35466,1.19579,1.1144,1.39186,0.65749,0.60084,0.6336,0.41672,1.38209,1.30495,1.46652,0.00109,0.00109,0.00109
92,35840.3,1.17802,1.08211,1.37463,0.64904,0.60499,0.63421,0.41745,1.38023,1.30271,1.46483,0.000991,0.000991,0.000991
93,36216.1,1.15307,1.04903,1.36191,0.65085,0.60244,0.63442,0.41828,1.37819,1.30002,1.46306,0.000892,0.000892,0.000892
94,36592.4,1.1407,1.03854,1.35142,0.64416,0.6097,0.63477,0.41905,1.37606,1.29792,1.46118,0.000793,0.000793,0.000793
